name,ingredients,method,glass_type,Ice,garnish,seasonal_associations,strength,flavor_profile
Crowned King,"Gin: 1.33, Lemon juice: 0.67, Amaro: 0.50, Apricot liqueur: 0.33, Orgeat: 0.17, Amontillado Sherry: 0.33",Shake and fine strain,Coupe,-,-,"Autumn, Spring",Medium,"Sweet & Sour, Nutty"
Dante's Shroom,"Maple syrup: 0.25, Blood orange juice: 1.00, Veda: 0.16, Scotch: 1.00, Xocolatl bitters: 1.00",Shake and fine strain,Nick & Nora,-,Orange zest,"Winter, Autumn",Medium,Sweet & Sour
Devil's Roots,"Mezcal: 0.33, Campari: 0.17, Veda: 0.33, Straight Whiskey: 1.00, Elderflower Liqueur: 0.17",Stir,Nick & Nora,-,Orange Zest,"Autumn, Spring",Strong,"Bitter Sweet, Floral, Smokey"
Drunken Pirate,"falernum liqueur: 0.50, Overproof aged rum: 1.50, Lime juice: 1.00, Maple syrup: 0.50, Veda: 0.50",Shake and strain,Double old fashioned,Cubed,Mint peak and Orange Wedge,"Summer, Spring, Autumn",Strong,Sweet & Sour
French 40,"Veda: 0.75, Champagne / Sparkling wine: 2.00, Gin: 1.00, Lemon juice: 0.50, 2: 1.00",Shake and fine strain,Collins,Cubed,Lemon wheel,"Spring, Autumn",Medium,Sweet & Sour
French Kiss No.4,"Raspberry syrup: 0.25, Orgeat: 0.33, Veda: 0.67, Lime juice: 0.50, Cognac: 1.50",Shake and fine strain,Coupe,-,Raspberry on stick,"Summer, Spring",Medium,"Sweet & Sour, Tropical"
Highlander,"Sweet Vermouth: 0.75, Angostura bitters: 1.00, Scotch: 1.50, Veda: 0.50",Stir,Nick & Nora,- ,Orange peel,"Winter, Autumn",Strong,Tropical
Hunter's Verdict,"Veda: 0.75, Ginger Liqueur: 0.25, Angostura bitters: 1.00, Aged rum: 2.00, Orange bitters: 1.00",Stir,Double Old Fashioned,-,Orange wedge,"Autumn, Spring, Winter",Strong,"Dry Sweet, Herbal, Spicy"
Italian Buck,"Cynar: 1.50, Lime juice: 0.75, Ginger beer: 2.50, Veda: 1.50",Shake and fine strain,Highball,Cubed,Lime wedge,"Spring, Autumn, Summer",Light,"Dry Sweet, Spicy"
Jim Jam,"Apricot liqueur: 0.50, Veda: 1.00, Lemon juice: 0.50",Shake and finestrain,Nick & Nora,-,Lemon zest,"Spring, Autumn",Light,Sweet & Sour
Killer Queen,"Lime juice: 0.75, Veda: 1.00, Rose liqueur: 0.25, White overproof rum: 1.00",Shake and fine strain,Coupe,-,-,"Spring, Summer",Strong,"Sweet & Sour, Floral"
Last Mushroom,"Maraschino: 1.00, Lime: 1.00, Gin: 1.00, Veda: 1.00",Shake and fine strain,Coupe,-,-,"Summer, Sprint, Autumn",Strong,"Sweet Sour, Herbal"
M&M (Mushroom & Mezcal),"Mezcal: 1.50, Veda: 1.50",Stir,Double Old Fashioned,Block,Lime peel,"Autumn, Winter",Strong,Bitter Sweet
M. Colada,"Lime Juice: 0.50, Veda: 0.33, Coco Lopez: 0.50, Pineapple juice: 1.00, White rum: 1.50",Shake,Hurricane,Crashed,Pineapple Wedge,"Summer, Spring",Light Medium,"Sweet, Tropical"
M.S,"Lime juice: 0.83, 2: 1.00, Creme de mure: 0.50, Absinth: 1.00, Veda: 1.50",Shake and fine strain,Old-fashioend,Block,Blackberry,"Spring, Autumn",Light,Sweet & Sour
Manhattan Transfer,"Orange Bitters: 1.00, Veda: 1.00, Dry Vermouth: 1.00, Rye Whiskey: 1.50",Stir,Coupe,-,Maraschino cherry,"Winter, Autumn",Strong,Dry Sweet
"Me, Myself & I","Mezcal: 1.00, Veda: 1.00, Italicus: 1.00",Stir,Double Old Fashioned,Ice Block,Orange Peel,"Autumn, Winter, Spring",Strong,Bitter Sweet
Midnight Mush,"Cynar: 1.00, Bonal: 1.00, Xocolatl Bitters: 2.00, Veda: 1.00, Mezcal: 1.00",Stir,Coupe,-,-,"Winter, Autumn",Strong,Dry Sweet
Moment Gone,"Prosecco: 1.00, Lemon juice: 0.67, 2: 1.00, Veda: 0.50, White rum: 2.00, Pomegranate juice: 1.33",Shake and fine strain,Highball,Cubed,Lemon wheel,"Spring, Autumn, Summer",Medium,Dry Sweet
Mushroom & Famous,"Veda: 0.75, Lime juice: 0.75, Aperol: 0.75, Mezcal: 0.75",Shake and fine strain,Coupe,-,Lime wedge,"Autumn, Spring",Medium,"Sweet & Sour, Smokey"
Mushroom Daiquiri,"Aged rum: 0.50, 2: 1.00, Pinepple rum: 0.50, Veda: 0.50, Lime juice: 0.50",Shake and fine strain,Coupe,-,-,"Summer, Spring",Medium,"Sweet & Sour, Tropical"
Mushroom Garibaldi,"Blood Orange juice: 2.00, Pink Grapefruit juice: 1.75, Veda: 1.50",Blend without ice until fluffy,Highball,-,Pink Grapefruit wedge,"Summer, Spring, Autumn",Light,"Dry Sweet, Citrus"
Mushroom Hold,"Elderflower liqueur: 0.50, Veda: 0.75, Lemon juice: 0.75, Orgeat: 0.33, Jamaican overproof rum: 0.75",Shake and strain,Old-fashioned,Crushed,Mint peaks,"Summer, Spring, Autumn",Strong,"Sweet & Sour, Nutty"
Mushroom Manhattan,"Rye Whiskey: 2.00, Organge bitters: 1.00, Angostura bitters: 1.00, Veda: 1.00",Stir,Coupe,-,Cocktail cherry,"Winter, Autumn",Strong,Bitter Sweet
Mushroom Margarita,"Mezcal: 0.33, Tequila: 1.00, Agave: 0.75, Veda: 0.50, Lime: 0.50",Shake and fine strain,Double Old Fashioned,Cubed Ice,Lime wedge,"Autumn, Spring, Summer",Medium,"Sweet and sour, Smoky"
Mushroom Martini,"Dry Vermouth: 0.16, Marsala: 0.33, Gin: 1.66, Bokers bitters: 1.00, Veda: 0.25",Stir,Martini,-,Olive,"Spring, Autumn, Winter, Summer",Strong,Dry 
Mushroom Negroni,"Gin: 1.00, Veda: 1.00, Sweet Vermouth: 1.00",Stirred,Double Old Fashioned,Ice Block,Orange peel,"Autumn, Winter, Spring",Strong,Bitter Sweet
Mushroom Paloma,"Mezcal: 0.50, Tequila: 0.50, Pink Grapefruit Soda, Veda: 0.50, Lime: 0.25",Build,Highball,Cubed,Pink Grapefruit Wedge,"Spring, Summer",Medium Strong,"Sweet & Sour, Effervescent"
Mushroom Sour,"Egg White: 1.00, Veda: 1.00, Lemon Juice: 0.50, Scotch: 1.50, Simple syrup: 0.25",Double Shake,Rocks glass,Cubed,Lemon peel,"Autumn, Spring",Medium Strong,Sweet & Sour
Mushrooms and Coke,"Prosecco: 1.00, Lime juice: 0.75, 2: 1.00, Pimento liqueur: 0.25, Veda: 1.00, Martinique Rum: 1.00",Shake and fine strain,Highball,Cubed,Lemon peel,"Spring, Autumn, Summer",Strong,Dry Sweet
Nuclear Mushroom Daiquiri,"Veda: 0.67, Banana: 1.00, Lime juice: 0.67, Falernum: 0.67, Overoproof rum: 1.00",Blend with crashed ice,Hurricane,-,Dehydrated banana,"Summer, Spring",Strong,"Sweet & Sour, Tropical"
Pastry War,"Mezcal: 0.50, Elderflower liqueur: 0.50, Tequila: 1.00, Veda: 0.50, Saline solution: 0.04, Lime juice: 0.50",Shake and fine strain,Coupe,-,Lime wedge,"Spring, Autumn, Summer",Medium,"Sweet & Sour, Floral"
Pinched Notes,"Chocolate bitters: 1.00, Gin: 0.50, Chili liqueur: 0.25, Veda: 1.00, Amontillado Sherry: 1.00",Stir,Double old fashioned,Block,Candied ginger,"Winter, Autumn",Strong,Dry Sweet
Poderoso,"Aged rum: 1.50, Coffee liqueur: 0.50, Veda: 0.50, Pineapple juice: 0.50",Shake and fine strain,Double old fashioned,Cubed,Pineapple wedge,"Autumn, Spring, Summer",Medium,Dry Sweet
Poet's Dream,"Gin: 0.75, Benedictine: 0.25, Veda: 0.25, Dry vermouth: 0.75",Stir,Nick & Nora,-,Lemon zest,"Autumn, Winter",Strong,Dry Sweet
Poison Dart,"Orgeat syrup: 0.50, Lemon juice: 0.50, Orange bitters: 1.00, Bourbon: 2.00, Veda: 0.25, Pimento liqueur: 0.54, Cinnamon syrup: 0.17",Shake and fine strain,Double old fashioned,Cubed,Orange peel,"Summer, Spring, Autumn",Medium Strong,"Sweet & Sour, Spice"
Positive Side,"Sugar syrup 1: 1.00, Ginger: 1.00, Veda: 0.50, Apricot liqueur: 0.33, Lime juice: 0.50, 8yo Rum: 1.00",Shake and fine strain,Coupe,-,-,"Spring, Autumn, Summer",Medium,Sweet & sour
Prophet in Plain Clothes,"Peated Scotch: 1.00, Rosso Vermouth: 1.00, Fernet Branca: 1.00, Veda: 0.50, Saline solution: 0.06",Stir,Coupe,-,Cherries on stick,"Winter, Autumn",Strong,Floral
Pura Vida,"Galiano Espresso: 0.33, Orange bitters: 1.00, Veda: 0.50, Mezcal: 1.33",Stir,Coupe,-,Orange peel,"Winter, Autumn",Strong,Dry Sweet
Royal Balcan,"Grapefruit bitters: 1.00, Tonic: 2.00, Benedictine: 0.25, Veda: 1.00, Gin: 1.50",Shake and fine strain,Highball,Cubed,Grapefruit peel,"Summer, Spring, Autumn",Medium,Dry Sweet
Rum & Mushroom,"Tonic, Lime juice: 0.33, Veda: 0.50, Angostura bitters: 1.00, Sugar syrup 1: 1.00, White rum: 1.50",Build,Collins,Cubed,Lime peel,"Summer, Spring, Autumn",Medium,Dry Sweet
Served,"Soda: 2.00, Lime juice: 1.00, Fino Sherry: 1.00, Veda: 1.00, 2: 1.00",Shake and fine strain,Collins,Cubed,Orange Wedge,"Spring, Summer, Autumn",Light,"Dry Sweet, Effervescent"
Show me the smoke,"2: 1.00, Mezcal: 1.50, Lemon juice: 0.50, Green chartreuse: 0.25, Egg white: 0.50, Veda: 0.25","Shake, fine strain and dry shake.",Coupe,-,Grated cinnamon,"Spring, Autumn",Strong,"Sweet & Sour, Herbal, Smokey"
Sidecap,"Lemon Juice: 0.50, Cognac: 1.52, Veda: 1.00",Shake and Fine Strain,Coupe,-,Suggared Rim,"Autumn, Winter, Spring",Medium Strong,Sweet & Sour
Smoke & Mirrors,"Peated Whiskey: 1.50, Apricot liqueur: 0.50, Angostura bitters: 0.40, Veda: 1.00",Stir,Coupe,-,Orange Coin,"Spring, Autumn",Strong,Sweet
Susto,"Veda: 0.83, Celery bitters: 1.00, Byrrh: 0.50, Mezcal: 1.00",Stir,Old-fashioned ,Block,Basil leaf,"Autumn, Spring",Strong,"Dry Sweet, Herbal"
Swizzle Suspect,"Veda: 0.33, Mint leaves: 8.00, Seedless green grapes: 6.00, Suze: 1.33, Peach liqueur: 0.33",Squeeze the grapes to release the juice,Highball,Crushed,Mint peak,"Spring, Autumn, Summer",Light Medium,"Dry Sweet, Herbal"
The Malagueña,"Agave: 0.25, Blackstrap Rum: 1.50, Veda: 1.00, Angostura btiters: 0.60, Orange bitters: 1.00",Stir,Coupe,-,Orange twist,"Autumn, Winter",Strong,Sweet
Trident,"Aquavit: 1.00, Manzanilla Sherry: 1.00, Veda: 1.00, Peach bitters: 0.40",Stir,Double old fashioned,Cubed,Lemon zest,"Spring, Autumn, Summer, Winter",Strong,Dry Sweet
Tropical Mushroom,"Cachaca: 1.50, Giffard Banana do brazil: 0.75, Lime juice: 0.75, Veda: 1.00",Churn,Highball,Crushed,Grated Cinnamon,"Spring, Summer",Medium,"Sweet & Sour, Fruity"
Veda Adonis,"Palo Cortado Sherry: 1.00, Amontillado Sherry: 1.00, Veda: 1.00, Sweet Vermouth: 1.00",Stir,Coupe,-,Orange coin,"Winter, Autumn",Medium,"Sweet, Dry"
Veda Americano,"Campari: 0.50, Sweet Vermouth: 1.00, Vera: 0.50",Build,Highball,Cubed Ice,Orange Wedge,"Autumn, Spring, Summer",Light,"Effervescent, Bitter Sweet"
Veda Martinez,"Angostura cocoa bitters: 0.40, Gin: 1.75, Luxardo Maraschino: 0.25, Veda: 0.50, Antica Formula: 0.50",Stir,Nick & Nora,-,Orange Peel,"Winter, Autumn",Strong,Dry Sweet
Veda Mary,"Pepper, Tobasco: 0.40, Tomato pasata: 3.00, Veda: 0.50, Worcestershire Sauce: 1.00, Vodka: 1.00, Salt",Shake and fine strain,Highball,Cubed,Celery root,"Spring, Summer, Winter, Autumn",Medium,"Sweet & Sour, Savory, Spicy"
Veda Mule,"Angostura bitters: 0.40, Ginger Beer: 3.00, Lime juice: 0.50, Veda: 1.00",Build,Highball,Cubed Ice,Lime wedge,"Spring, Summer, Autumn",Light,"Spicy, Effervescent"
Veda Old Fashioned,"Bourbon: 1.00, Angostura bitters: 0.40, Veda: 1.00",Stirred,Double Old Fashioned,Ice Block,Orange peel,"Autumn, Winter",Strong,Sweet
Veda Paper Plane,"Lemon juice: 1.00, Aperol: 1.00, Bourbon: 1.00, Veda: 1.00",Shake and Fine strain,Coupe,-,-,"Autumn, Spring, Summer",Strong,"Sweet & Sour, Herbal, Citrusy"
Veda Spirtz,"Prosecco: 2.50, Veda: 2.00, Soda: 1.00",Build,Wine Glass,Cubed Ice,Lemon wedge,"Autumn, Spring",Medium,Effervecent
Vedicilin,"Peated scotch: 0.67, Ginger Liqueur: 0.50, Scotch: 1.00, Honey syrup: 0.25, Lemon Juice: 0.67, Veda: 0.25",Shake and Fine strain,Double old fashioned,Cubed,Peated whiskey spray,"Spring, Summer, Winter, Autumn",Medium Strong,"Sweet & Sour, Smokey"
Vedrano,"Veda: 0.75, Pineapple Rum: 0.25, Pineapple syrup: 0.17, Agricole Rhum: 1.00, Angostura bitters: 1.00, Lime juice: 0.17",Churn,Double old fashioned,Crashed,Mint peak,"Summer, Spring, Autumn",Medium,"Sweet & Sour, Fruity, Tropical"
Vedroni Sour,"Veda: 1.00, Gin: 1.50, 2: 1.00, Campari: 0.75, Egg white: 0.50, Orange juice: 0.25, Lemon juice: 0.75","Shake, fine strain and Dry shake",Coupe,-,Lemon wheel,"Spring, Autumn, Summer",Medium,Dry Sour
Velvet Touch,"P.X Sherry: 0.33, Rye Whiskey: 1.33, Veda: 0.50",Stir,Nick & Nora,-,Orange zest,"Winter, Autumn, Spring",Strong,Dry Sweet
Withces Flight,"Veda: 0.75, Strega: 0.75, Bourbon: 0.75, Lemon Juice: 0.75",Shake and Fine strain,Coupe,-,Sugarred Rim,"Spring, Summer, Autumn",Strong,"Sweet & Sour, Herbal"
Yamabuki,"Amaro: 0.50, Japanese Whiskey: 1.50, Orange bitters: 1.00, Bianco Vermouth: 0.75",Stir,Nick & Nora,-,Lemon peel,"Autumn, Spring",Strong,Dry Sweet
"Yesterday, Today and Veda","Rye Whiskey: 2.00, Benédictine: 0.25, Veda: 0.25, Cynar: 0.50",Stir,Coupe,-,Lemon zest,"Autumn, Winter",Strong,Dry Sweet
